,Text,Type,Mesh
1283,L-name,Chemical,D019331
1284,Bromocriptine,Chemical,D001971
1285,Cardiac hypertrophy,Disease,D006332
1286,Domperidone,Chemical,D004294
1287,Ketamine,Chemical,D007649
1288,Cyclosporine,Chemical,D016572
1289,Tma,Disease,D057049
1290,Chronic renal insufficiency,Disease,D051436
1291,Systolic dysfunction,Disease,D006331
1292,Furosemide,Chemical,D005665
1293,Amine,Chemical,D000588
1294,Renal artery stenosis,Disease,D012078
1295,Renovascular disease,Disease,D014652
1296,Lung toxicity,Disease,D008171
1297,Doxorubicin,Chemical,D004317
1298,Ih636 grape seed proanthocyanidin extract,Chemical,C511402
1299,Grape seed extract,Chemical,C511402
1300,Proanthocyanidins,Chemical,D044945
1301,Gspe,Chemical,C511402
1302,Aap,Chemical,D000082
1303,Ami,Chemical,D000638
1304,Dox,Chemical,D004317
1305,Tissue damage,Disease,D017695
1306,Palpebral twitching,Disease,D004409
1307,Citalopram,Chemical,D015283
1308,Metamizol,Chemical,D004177
1309,Constipation,Disease,D003248
1310,Constipating,Disease,D003248
1311,Charcoal,Chemical,D002606
1312,Chronic pain,Disease,D059350
1313,Asterixis,Disease,D020820
1314,Ifx,Chemical,D007069
1315,Myoclonus,Disease,D009207
1316,Plasmacytoma,Disease,D010954
1317,Structural lesions of the brain,Disease,D001927
1318,Metabolic abnormalities,Disease,D008659
1319,Gamma-vinyl gaba,Chemical,D020888
1320,Vigabatrin,Chemical,D020888
1321,Gvg,Chemical,D020888
1322,Substance abuse,Disease,D019966
1323,Visual field defects,Disease,D005128
1324,Vfd,Disease,D005128
1325,Da,Chemical,D004298
1326,Bleeding,Disease,D006470
1327,Hematoma,Disease,D006406
1328,Ich,Disease,D002543
1329,Estradiol,Chemical,D004958
1330,Hippocampal injury,Disease,D001930
1331,Kainic acid,Chemical,D007608
1332,Se,Disease,D013226
1333,Silver,Chemical,D012834
1334,Neurologic sequelae,Disease,D009422
1335,Weakness of extremities,Disease,D018908
1336,Legs paralysis,Disease,D010243
1337,Dysarthria,Disease,D004401
1338,Vascular dysfunctions,Disease,D002561
1339,Cluster headache,Disease,D003027
1340,Intracranial vascular disturbances,Disease,D002561
1341,Increases in dural and cortical blood flow,Disease,D006940
1342,Hexamethonium chloride,Chemical,D018738
1343,Increases in dural blood flow,Disease,D006940
1344,Bicuculline,Chemical,D001640
1345,Hypolocomotion,Disease,D006948
1346,Tremors,Disease,D014202
1347,Azithromycin,Chemical,D017963
1348,Epileptic,Disease,D004827
1349,Nitro-l-arginine methyl ester,Chemical,D019331
1350,High-frequency hearing loss,Disease,D006316
1351,Aminoglycoside,Chemical,D000617
1352,Ototoxic,Disease,D006311
1353,Amphetamine abuse,Disease,D019969
1354,Ischaemic stroke,Disease,D002544
1355,Ischaemic strokes,Disease,D002544
1356,Vasculitis,Disease,D014657
1357,Cerebral haemorrhages,Disease,D002543
1358,Haemorrhage,Disease,D006470
1359,Cataract,Disease,D002386
1360,Lignocaine,Chemical,D008012
1361,"Nausea, vomiting",Disease,D020250
1362,Postoperative emetic symptoms,Disease,D020250
1363,Chronic kidney disease,Disease,D051436
1364,Contrast medium,Chemical,D003287
1365,Iopamidol,Chemical,D007479
1366,Iodixanol,Chemical,C044834
1367,N-acetylcysteine,Chemical,D000111
1368,Maltolyl p-coumarate,Chemical,C524754
1369,Maltol,Chemical,C008316
1370,P-coumaric acid,Chemical,C032171
1371,Cognitive decline,Disease,D003072
1372,Amyloid beta peptide(1-42),Chemical,C544092
1373,H2o2,Chemical,D006861
1374,Alzheimer's disease,Disease,D000544
1375,Neuronal death,Disease,D009410
1376,Decline of cognitive function,Disease,D003072
1377,Levofloxacin,Chemical,D064704
1378,Fluoroquinolone,Chemical,D024841
1379,Hepatitis b virus (hbv) infected,Disease,D006509
1380,Hiv co-infection,Disease,D015658
1381,Hepatitis b,Disease,D006509
1382,Human immunodeficiency virus (hiv) co-infection,Disease,D015658
1383,Hbv infected,Disease,D006509
1384,Hbv mono-infected,Disease,D006509
1385,Hbsag,Chemical,D006514
1386,Tyrosine,Chemical,D014443
1387,Methionine,Chemical,D008715
1388,Aspartate,Chemical,D001224
1389,Acute pain,Disease,D059787
1390,Dextromethorphan,Chemical,D003915
1391,Sirolmus,Chemical,D020123
1392,Mycophenolate mofetil,Chemical,C063008
1393,Ace inhibitor,Chemical,D000806
1394,Angiotensin-releasing blocker,Chemical,D057911
1395,Arb,Chemical,D057911
1396,Acei,Chemical,D000806
1397,N-pyrimidinyl-2-phenoxyacetamides,Chemical,D010642
1398,N-pyrimidinyl-2-phenoxyacetamide,Chemical,D010642
1399,Methamphetamine,Chemical,D008694
1400,Meth,Chemical,D008694
1401,Mptp,Chemical,D015632
1402,Neurodegeneration,Disease,D009422
1403,Cns damage,Disease,D009422
1404,Brachial neuritis,Disease,D020968
1405,Everolimus,Chemical,C107135
1406,Tac,Chemical,D016559
1407,Headaches,Disease,D006261
1408,Neurological deficits,Disease,D009461
1409,Myelitis,Disease,D009187
1410,Brachial plexitis,Disease,D020968
1411,Valvular heart disease,Disease,D006349
1412,Pergolide,Chemical,D010479
1413,Valvular heart abnormalities,Disease,D006349
1414,Valvular heart abnormality,Disease,D006349
1415,Aortic regurgitation,Disease,D001022
1416,Mitral regurgitation,Disease,D008944
1417,Valvular regurgitation,Disease,D006349
1418,Valve regurgitation,Disease,D006349
1419,Papaverine hydrochloride,Chemical,D010208
1420,Cranial nerve dysfunction,Disease,D003389
1421,Adverse effect on the proximal eighth nerve,Disease,D000160
1422,Cranial nerve deficits,Disease,D003389
1423,Bisphosphonate,Chemical,D004164
1424,Alendronate,Chemical,D019386
1425,Alendronate sodium,Chemical,D019386
1426,Bisphosphonates,Chemical,D004164
1427,Volume retention,Disease,D016055
1428,Lipidemia,Disease,D006949
1429,Uremia,Disease,D014511
1430,Co-trimoxazole,Chemical,D015662
1431,Pneumocystis pneumonia,Disease,D011020
1432,Hiv-infected,Disease,D015658
1433,Pcp,Disease,D011020
1434,Opportunistic infection,Disease,D009894
1435,Intrahepatic cholestasis,Disease,D002780
1436,Liver abscess,Disease,D008100
1437,Oxycodone,Chemical,D010098
1438,Modafinil,Chemical,C048833
1439,Daytime sleepiness,Disease,D012893
1440,Asenapine,Chemical,C522667
1441,Bipolar i disorder,Disease,D001714
1442,Psychotic,Disease,D011618
1443,Cardiac toxicity,Disease,D066126
1444,Lopinavir/ritonavir,Chemical,C558899
1445,Human immunodeficiency virus infection,Disease,D015658
1446,Heart block,Disease,D006327
1447,Pentobarbital,Chemical,D010424
1448,Memory dissociation,Disease,D008569
1449,Angiosarcoma,Disease,D006394
1450,Intraarterial lesions,Disease,D014652
1451,Xanthine,Chemical,D019820
1452,Ht,Disease,D006973
1453,Dex,Chemical,D003907
1454,Allopurinol,Chemical,D000493
1455,Urate,Chemical,D014527
1456,Increased sbp,Disease,D006973
1457,Decreased thymus (p < 0.001) and bodyweights,Disease,D015431
1458,Risperidone,Chemical,D018967
1459,Serotonin 5-ht2,Chemical,D044348
1460,Psychotic symptoms,Disease,D011618
1461,Drug-induced parkinsonism,Disease,D010302
1462,Simvastatin-ezetimibe,Chemical,C492458
1463,Hepatic failure,Disease,D017093
1464,Hepatotoxic,Disease,D056486
1465,Ezetimibe,Chemical,C108606
1466,Fulminant hepatic failure,Disease,D017114
1467,Simvastatin,Chemical,D019821
1468,Simvastatin 10 mg-ezetimibe 40 mg,Chemical,C492458
1469,Simvastatinezetimibe,Chemical,C492458
1470,Escitalopram,Chemical,D015283
1471,Drug toxicity,Disease,D064420
1472,Uridine diphosphate,Chemical,D014530
1473,Simvastatin hydroxy acid,Chemical,C532833
1474,Liver failure,Disease,D017093
1475,Meth mouth,Disease,Unknown
1476,Cardiac dysrhythmias,Disease,D001145
1477,Hallucinations,Disease,D006212
1478,Violent behavior,Disease,D001523
1479,Xerostomia,Disease,D014987
1480,Caries,Disease,D003731
1481,Tooth wear,Disease,D057085
1482,Bad breath,Disease,D012120
1483,Carious lesions,Disease,D003731
1484,Carious episodes,Disease,D003731
1485,Methamphetamines,Chemical,D008694
1486,Thyroxine,Chemical,D013974
1487,Thyrotoxicosis,Disease,D013971
1488,Eating disorders,Disease,D001068
1489,Drug abuse,Disease,D019966
1490,Lipopolysaccharide,Chemical,D008070
1491,Dopaminergic terminal damage,Disease,D009422
1492,"3,4-dihydroxyphenylacetic acid",Chemical,D015102
1493,Enalapril,Chemical,D004656
1494,Glomerular sclerosis,Disease,D007674
1495,Apnea,Disease,D001049
1496,Succinylcholine,Chemical,D013390
1497,Fractures,Disease,D050723
1498,Fracture,Disease,D050723
1499,Dislocation,Disease,D004204
1500,Ketamine hydrochloride,Chemical,D007649
1501,Emesis,Disease,D014839
1502,Clumsiness,Disease,D001259
1503,Ataxic movements,Disease,D001259
1504,Dysphoric reaction,Disease,Unknown
1505,Rheumatologic disorders,Disease,D012216
1506,Hepatitis b virus surface antigen,Chemical,D006514
1507,Hbs ag,Chemical,D006514
1508,Rheumatologic disease,Disease,D012216
1509,Rheumatologic diseases,Disease,D012216
1510,Abnormal liver function,Disease,D056486
1511,Midazolan,Chemical,D008874
1512,Mz,Chemical,D008874
1513,Flumazenil,Chemical,D005442
1514,Fl,Chemical,D005442
1515,Myocardiopathy,Disease,D009202
1516,Mp,Disease,D009202
1517,Mr,Disease,D008944
1518,Hypoxia,Disease,D000860
1519,Airway obstruction,Disease,D000402
1520,Bepridil,Chemical,D015764
1521,Selegiline,Chemical,D012642
1522,Postural hypotension,Disease,D007024
1523,Systolic orthostatic hypotension,Disease,D007024
1524,Reduced the supine systolic and diastolic blood pressures,Disease,D007024
1525,Metamphetamine,Chemical,D008694
1526,Pains,Disease,D010146
1527,Renovascular hypertension,Disease,D006978
1528,Sudden deterioration of renal function,Disease,D058186
1529,Propylthiouracil,Chemical,D011441
1530,Chronic active (aggressive) hepatitis,Disease,D006521
1531,Muscle pain,Disease,D063806
1532,Temporomandibular disorders,Disease,D013705
1533,Nociceptive muscle,Disease,D063806
1534,Painful muscle,Disease,D063806
1535,Hydrogen cyanamide,Chemical,D003484
1536,Aldehyde,Chemical,D000079
1537,Acetaldehyde,Chemical,D000079
1538,Dormex,Chemical,D003484
1539,Flushing of the face,Disease,D005483
1540,Flushing,Disease,D005483
1541,Arterial hypotension,Disease,D007022
1542,Trimipramine,Chemical,D014299
1543,Tri,Chemical,D014299
1544,5-hydroxytryptamine,Chemical,D012701
1545,Reserpine,Chemical,D012110
1546,Hypothermia,Disease,D007035
1547,5-hydroxytryptophan,Chemical,D006916
1548,D-amphetamine,Chemical,D003913
1549,Quinpirole,Chemical,D019257
1550,Ranitidine,Chemical,D011899
1551,Acetazolamide,Chemical,D000086
1552,Neuromuscular disorders,Disease,D009468
1553,Myotonia,Disease,D009222
1554,Renal calculi,Disease,D007669
1555,Renal calculus,Disease,D007669
1556,Calculus,Disease,D002137
1557,Scabies,Disease,D012532
1558,Lindane,Chemical,D001556
1559,Gamma benzene hexachloride,Chemical,D001556
1560,Toxic to the central nervous system,Disease,D002493
1561,Aplastic anaemia,Disease,D000741
1562,Masseter spasm,Disease,D014313
1563,Myotonia congenita,Disease,D009224
1564,8-aminoquinoline,Chemical,C080436
1565,8-[(4-amino-l-methylbutyl)amino]- 5-(l-hexyloxy)-6-methoxy-4-methylquinoline,Chemical,C068820
1566,Wr242511,Chemical,C068820
1567,Methemoglobinemia,Disease,D008708
1568,Hemoglobinuria,Disease,D006456
1569,Myoglobinuria,Disease,D009212
1570,Kanamycin,Chemical,D007612
1571,Sumatriptan,Chemical,D018170
1572,Atypical sensations,Disease,D010292
1573,Tingling or burning sensations,Disease,D010292
1574,Sunburn,Disease,D013471
1575,Salbutamol,Chemical,D000420
1576,Obstructive lung disease,Disease,D008173
1577,Docetaxel,Chemical,C067311
1578,Quaternary ammonium,Chemical,D000644
1579,Um-272,Chemical,C002616
1580,"N,n-dimethylpropranolol",Chemical,C002616
1581,Ouabain,Chemical,D010042
1582,Ventricular tachycardias,Disease,D017180
1583,Haemolytic anaemia,Disease,D000743
1584,Ciprofloxacin,Chemical,D002939
1585,Urinary tract infection,Disease,D014552
1586,Haemolysis,Disease,D006461
1587,Petechiae,Disease,D011693
1588,Purpura,Disease,D011693
1589,Haemorrhages,Disease,D006470
1590,Bone marrow depression,Disease,D001855
1591,Thrombi,Disease,D013927
1592,Microangiopathies,Disease,D014652
1593,Compartment syndrome,Disease,D003161
1594,Myonecrosis,Disease,D009135
1595,Hypothyroidism,Disease,D007037
1596,Hypothyroid,Disease,D007037
1597,Arteriopathic,Disease,D014652
1598,Danazol,Chemical,D003613
1599,Liver mass,Disease,D008107
1600,Combination of amoxicillin and clavulanic acid,Chemical,D019980
1601,Amoxicillin-clavulanic acid,Chemical,D019980
1602,Granulomas,Disease,D006099
1603,Cholestatic syndrome,Disease,D002779
1604,Eosinophilia,Disease,D004802
1605,Clavulanic acid,Chemical,D019818
1606,Cocaine abuse,Disease,D019970
1607,Aneurysms,Disease,D000783
1608,Ruptured aneurysms,Disease,D017542
1609,Aneurysmal rupture,Disease,D017542
1610,Absence seizures,Disease,D004832
1611,Absence epilepsy,Disease,D004832
1612,Absence seizure,Disease,D004832
1613,Gamma-aminobutyric acid,Chemical,D005680
1614,Epilepsy,Disease,D004827
1615,Procainamide,Chemical,D011342
1616,Premature ventricular contractions,Disease,D018879
1617,Q-t prolongation,Disease,D008133
1618,Syncope,Disease,D013575
1619,Prolonged q-t syndrome,Disease,D008133
1620,Dextran,Chemical,D003911
1621,Hoe-140,Chemical,C065679
1622,5-azacytidine,Chemical,D001374
1623,Initiation induced by carcinogens,Disease,D011230
1624,Initiation of carcinogenic process,Disease,D011230
1625,5-azc,Chemical,D001374
1626,Benzo[a]-pyrene,Chemical,D001564
1627,N-methyl-n-nitrosourea,Chemical,D008770
1628,"1,2-dimethylhydrazine",Chemical,D019813
1629,"1,2-dmh",Chemical,D019813
1630,2-acetylaminofluorene,Chemical,D015073
1631,[3h]-5-azadeoxycytidine,Chemical,C014347
1632,Cytosine,Chemical,D003596
1633,Rs,Disease,D001480
1634,Trihexyphenidyl,Chemical,D014282
1635,Catecholamines,Chemical,D002395
1636,Meningeal leukemia,Disease,D008577
1637,Meningeal disease,Disease,D002493
1638,Mucositis,Disease,D052016
1639,Transient hemiparesis,Disease,D010291
1640,Leukemoid reaction,Disease,D007955
1641,Erythroderma,Disease,D003873
1642,Hyponatremia,Disease,D007010
1643,Locomotor hypoactivity,Disease,D009069
1644,Choline,Chemical,D002794
1645,Dobutamine,Chemical,D004280
1646,Tc99m-sestamibi,Chemical,D017256
1647,Sestamibi,Chemical,D017256
1648,Rhabdomyolysis,Disease,D012206
1649,Atazanavir,Chemical,C413408
1650,Human immunodeficiency virus,Disease,D015658
1651,Blood urea nitrogen,Chemical,D001806
1652,Alanine,Chemical,D000409
1653,Fluvastatin,Chemical,C065180
1654,Rosuvastatin,Chemical,C422923
1655,Atorvastatin,Chemical,C065179
1656,Lovastatin,Chemical,D008148
1657,Squamous cell esophageal carcinoma,Disease,C562729
1658,Granulocytopenia,Disease,D000380
1659,Peripheral neurotoxicity,Disease,D010523
1660,Esophageal squamous cell carcinoma,Disease,C562729
1661,Aponidine hydrochloride,Chemical,C016986
1662,Apraclonidine,Chemical,C016986
1663,Ocular hypotensive,Disease,D015814
1664,Decreases in systolic blood pressure,Disease,D007022
1665,Conjunctival blanching,Disease,D003229
1666,Mydriasis,Disease,D015878
1667,Entropion,Disease,D004774
1668,Corneal abrasion,Disease,D003316
1669,Carmofur,Chemical,C017367
1670,Organic mental disorders,Disease,D019965
1671,Organic personality syndrome,Disease,D010554
1672,Frontal lobe syndrome,Disease,D001927
1673,Structural damage to the frontal lobe,Disease,D001927
1674,Mexiletine,Chemical,D008801
1675,Mexitil-perlongets,Chemical,D008801
1676,Gastrointestinal problems,Disease,D012817
1677,Calcitonin,Chemical,D002116
1678,Intracranial bleeding,Disease,D013345
1679,Wheezing,Disease,D012135
1680,Respiratory distress,Disease,D012128
1681,Rash,Disease,D005076
1682,Molindone,Chemical,D008972
1683,Cardiovascular alterations,Disease,D018376
1684,Ro 40-5967,Chemical,D020748
1685,Cardiovascular malformations,Disease,D018376
1686,Nifedipine,Chemical,D009543
1687,Hepatitis b virus e antigen,Chemical,D006513
1688,Lam,Chemical,D019259
1689,Hbeag,Chemical,D006513
1690,Nucleotide,Chemical,D009711
1691,Adefovir,Chemical,C053001
1692,Tenofovir,Chemical,C096918
1693,Sevoflurane,Chemical,C009250
1694,Enflurane,Chemical,D004737
1695,Apamin,Chemical,D001030
1696,Superoxide,Chemical,D013481
1697,O2-,Chemical,D013481
1698,Ato,Chemical,C065179
1699,99mtc-glucarate,Chemical,C067171
1700,Infarct,Disease,D007238
1701,Glucaric acid,Chemical,D005937
1702,Cardiac infarction,Disease,D009203
1703,Disruptive behaviors,Disease,D019958
1704,Psychomotor agitation,Disease,D011595
1705,Extrapyramidal signs,Disease,D001480
1706,Hip-his-leu,Chemical,C010980
1707,Renal interstitial damage,Disease,D007674
1708,Focal glomerulosclerosis,Disease,D005923
1709,Tobramycin,Chemical,D014031
1710,Gentamicin sulfate,Chemical,D005839
1711,Tobramycin sulfate,Chemical,D014031
1712,Mpep,Chemical,C121465
1713,2-methyl-6-(phenylethynyl)pyridine,Chemical,C121465
1714,Veratridine,Chemical,D014701
1715,Desipramine hcl,Chemical,D003891
1716,Cinacalcet hcl,Chemical,C476217
1717,Cinacalcet,Chemical,C476217
1718,Lid,Disease,D004409
1719,Corticosteroids,Chemical,D000305
1720,Paramethasone,Chemical,D010248
1721,Conjunctivitis,Disease,D003231
1722,Pancreatitis,Disease,D010195
1723,Impaired consciousness,Disease,D003244
1724,Haemolytic-uraemic syndrome,Disease,D006463
1725,Metronidazole,Chemical,D008795
1726,Extrahepatic cholestasis,Disease,D001651
1727,Beta-thalassemic,Disease,D017086
1728,Beta-thalassemia,Disease,D017086
1729,Dfo,Chemical,D003676
1730,Snhl,Disease,D006319
1731,Thalassemic,Disease,D013789
1732,Angiotensin converting enzyme (ace) inhibitors,Chemical,D000806
1733,Azidothymidine,Chemical,D015215
1734,Azt,Chemical,D015215
1735,Thymidine,Chemical,D013936
1736,Inferior colliculus lesion,Disease,D001927
1737,Inferior colliculus lesions,Disease,D001927
1738,Callosal lesion,Disease,D001927
1739,Apnoea,Disease,D001049
1740,Carbon dioxide,Chemical,D002245
1741,Tachyarrhythmias,Disease,D013610
1742,Ventricular ectopic beats,Disease,D018879
1743,Phenytoin,Chemical,D010672
1744,Overdosages,Disease,D062787
1745,Cerebellar atrophy,Disease,D002526
1746,Cerebellar disorders,Disease,D002526
1747,Myocardial damage,Disease,D009202
1748,Myocardial cell injury,Disease,D009202
1749,Cardiac disorders,Disease,D006331
1750,Ischemic injury,Disease,D017202
1751,Cips,Disease,Unknown
1752,Reflex sympathetic dystrophy,Disease,D012019
1753,Morton's neuralgia,Disease,D009437
1754,Gout,Disease,D006073
1755,Avascular necrosis,Disease,D010020
1756,Foot deformities,Disease,D005530
1757,Stress fractures,Disease,D015775
1758,Hyperparathyroidism,Disease,D006961
1759,Halogenated hydroxyquinolines,Chemical,D006912
1760,Clioquinol,Chemical,D007464
1761,Neurological disturbance,Disease,D009422
1762,Optic atrophy,Disease,D009896
1763,Acrodermatitis enteropathica,Disease,C538178
1764,Myelopathy,Disease,D013118
1765,Epileptic seizures,Disease,D004827
1766,Tamca,Chemical,D014148
1767,Generalized seizures,Disease,D012640
1768,Sugar dependency,Disease,D019966
1769,Behavioral cross-sensitization,Disease,D006948
1770,Drug dependency,Disease,D019966
1771,Sucrose,Chemical,D013395
1772,Hyperactive,Disease,D006948
1773,Angiopathy,Disease,D001018
1774,D-pen,Chemical,D010396
1775,Hyaluronate,Chemical,D006820
1776,Anthracyclines,Chemical,D018943
1777,Cardiac dysfunction,Disease,D006331
1778,Acute leukemia,Disease,D015470
1779,Daunorubicin,Chemical,D003630
1780,Dnr,Chemical,D003630
1781,Birth defects,Disease,D000014
1782,Birth defect,Disease,D000014
1783,Sulfonamides,Chemical,D013449
1784,Anencephaly,Disease,D000757
1785,Hypoplastic left heart syndrome,Disease,D018636
1786,Choanal atresia,Disease,D002754
1787,Transverse limb deficiency,Disease,D017880
1788,Diaphragmatic hernia,Disease,D006548
1789,Nitrofurantoins,Chemical,D009582
1790,Anophthalmia,Disease,D000853
1791,Microphthalmos,Disease,D008850
1792,Atrial septal defects,Disease,D006344
1793,Cleft lip,Disease,D002971
1794,Cleft palate,Disease,D002972
1795,Erythromycins,Chemical,D004917
1796,Cephalosporins,Chemical,D002511
1797,Quinolones,Chemical,D015363
1798,Chlorambucil,Chemical,D002699
1799,Alkylating agents,Chemical,D000477
1800,Purine,Chemical,D011687
1801,Folic acid,Chemical,D005492
1802,Synovitis,Disease,D013585
1803,Acute nonlymphocytic leukemia,Disease,D015470
1804,Non-hodgkin's lymphoma,Disease,D008228
1805,Malignancy,Disease,D009369
1806,Hepatic injury,Disease,D056486
1807,Methyldopa,Chemical,D008750
1808,Hepatomegaly,Disease,D006529
1809,Anorexia,Disease,D000855
1810,Fatty change,Disease,D005234
1811,Massive hepatic necrosis,Disease,D047508
1812,Acute hepatitis,Disease,D017114
1813,Fulminant hepatitis,Disease,D017114
1814,Hepatic dysfunction,Disease,D008107
1815,Head and neck cancers,Disease,D006258
1816,Head and neck carcinomas,Disease,D006258
1817,Taxol,Chemical,D017239
1818,Head and neck cancer,Disease,D006258
1819,Ovarian cancer,Disease,D010051
1820,Alopecia,Disease,D000505
1821,Paresthesias,Disease,D010292
1822,Arthralgias,Disease,D018771
1823,Myalgias,Disease,D063806
1824,Myalgia,Disease,D063806
1825,4'-0-tetrahydropyranyladriamycin,Chemical,C027260
1826,Pirarubicin,Chemical,C027260
1827,Phlebitis,Disease,D010689
1828,Adriamycinol,Chemical,C010013
1829,Adriamycinone,Chemical,C010012
1830,Tetrahydropyranyladriamycinol,Chemical,C027260
1831,Mesothelioma,Disease,D008654
1832,Leiomyosarcoma,Disease,D007890
1833,Basal cell carcinoma,Disease,D002280
1834,Gamma-hexachlorocyclohexane,Chemical,D001556
1835,Gamma-hch,Chemical,D001556
1836,Ptz,Chemical,D010433
1837,Picrotoxin,Chemical,D010852
1838,Ptx,Chemical,D010852
1839,3-mercaptopropionic acid,Chemical,D015097
1840,Mpa,Chemical,D015097
1841,Bcc,Chemical,D001640
1842,"Methyl 6,7-dimethoxy-4-ethyl-b-carboline-3-carboxylate",Chemical,C034818
1843,Dmcm,Chemical,C034818
1844,Strychnine,Chemical,D013331
1845,Str,Chemical,D013331
1846,Pentylenetetrazol,Chemical,D010433
1847,3h-tbob,Chemical,C046308
1848,T-butyl bicyclo-orthobenzoate,Chemical,C046308
1849,Carboplatin,Chemical,D016190
1850,Glioblastomas,Disease,D005909
1851,Glioblastoma,Disease,D005909
1852,Malignant tumor,Disease,D009369
1853,Glycerin,Chemical,D005990
1854,Glaucoma,Disease,D005901
1855,Ocular pain,Disease,D058447
1856,Papilledema,Disease,D010211
1857,Retinal detachment,Disease,D012163
1858,Chorioretinal atrophy,Disease,C566236
1859,Ocular toxicity,Disease,D005128
1860,Amsacrine,Chemical,D000677
1861,Ci-921,Chemical,C042315
1862,Nsc 343499,Chemical,C042315
1863,Non-small cell lung cancer,Disease,D002289
1864,"9-[[2-methoxy-4-[(methylsulphonyl)amino]phenyl]amino] -n,5-dimethyl- 4-acridinecarboxamide",Chemical,C042315
1865,Squamous carcinoma,Disease,D002294
1866,Adenocarcinoma,Disease,D000230
1867,Bronchio-alveolar carcinoma,Disease,D002282
1868,Undifferentiated carcinoma,Disease,D002277
1869,Squamous cell carcinoma,Disease,D002294
1870,Alpha-lipoic acid,Chemical,D008063
1871,Mitochondrial damage,Disease,D028361
1872,Toxic neurodegenerative cascade,Disease,D009410
1873,Mitochondrial impairment,Disease,D028361
1874,Mitochondrial toxicity,Disease,D028361
1875,Peripheral nerve toxicity,Disease,D010523
1876,Strokes,Disease,D020521
1877,Ximelagatran,Chemical,C426686
1878,Embolic events,Disease,D004617
1879,Irbesartan,Chemical,C081309
1880,Idraparinux,Chemical,C479958
1881,Cardiac remodelling,Disease,D020257
1882,Cyclosporin a,Chemical,D016572
1883,Acute t-lymphocytic leukemia,Disease,D054218
1884,Hyperbilirubinemia,Disease,D006932
1885,Cefonicid,Chemical,D015790
1886,Cefazedone,Chemical,C021341
1887,Cephalosporin,Chemical,D002511
1888,Hematotoxicity,Disease,D006402
1889,Hematologic disturbances,Disease,D006402
1890,Blood dyscrasias,Disease,D006402
1891,Cytopenias,Disease,D006402
1892,Hematologic syndrome,Disease,D006402
1893,Cytopenia,Disease,D006402
1894,Pyridoxine,Chemical,D011736
1895,Behavioral disorder,Disease,D002653
1896,Behavioral deterioration,Disease,D002653
1897,Hyperkinesis,Disease,D006948
1898,Sleeping difficulties,Disease,D012893
1899,Pyridoxine hydrochloride,Chemical,D011736
1900,Niacinamide,Chemical,D009536
1901,Pyridoxal,Chemical,D011730
1902,Kynurenine,Chemical,D007737
1903,Tryptophan,Chemical,D014364
1904,Nra0160,Chemical,C121249
1905,5 - [2- ( 4- ( 3 - fluorobenzylidene) piperidin-1-yl) ethyl] - 4 -(4-fluorophenyl) thiazole-2-carboxamide,Chemical,C121249
1906,Map,Chemical,D008694
1907,Phencyclidine,Chemical,D010622
1908,Pcp,Chemical,D010622
1909,Troleandomycin,Chemical,D014217
1910,Hypereosinophilia,Disease,D004802
1911,Pruritus,Disease,D011537
1912,Gemfibrozil,Chemical,D015248
1913,Niacin,Chemical,D009525
1914,Hypercholesterolaemia,Disease,D006937
1915,Sulfasalazine,Chemical,D012460
1916,Lupus erythematosus,Disease,D008180
1917,Pleural effusions,Disease,D010996
1918,Cardiac tamponade,Disease,D002305
1919,Lupus,Disease,D008180
1920,Serositis,Disease,D012700
1921,Lupus syndrome,Disease,D008180
1922,Carbidopa,Chemical,D002230
1923,Gastrointestinal disorders,Disease,D005767
1924,Sleep disturbances,Disease,D012893
1925,Parasomnias,Disease,D020447
1926,Cerebral hypoxia,Disease,D002534
1927,Comatose,Disease,D003128
1928,Stuporous,Disease,D053608
1929,Chlormethiazole,Chemical,D002719
1930,Withdrawal symptoms,Disease,D013375
1931,Nitrazepam,Chemical,D009567
1932,Neurological sequelae,Disease,D009422
1933,Hypoxaemia,Disease,D000860
1934,Postoperative nausea and vomiting,Disease,D020250
1935,Renal fanconi syndrome,Disease,D005198
1936,Mitochondrial cytopathy,Disease,C540770
1937,Wilson's disease,Disease,D006527
1938,Mmf,Chemical,Unknown
1939,Hepatitis b infection,Disease,D006509
1940,Metabolic acidosis,Disease,D000138
1941,Hypophosphatemia,Disease,D017674
1942,Glycosuria,Disease,D006029
1943,Acidosis,Disease,D000138
1944,Muscle weakness,Disease,D018908
1945,Fanconi syndrome,Disease,D005198
1946,Mitochondrial disorders,Disease,D028361
1947,Tubular dysfunction,Disease,D005198
1948,Thioperamide,Chemical,C052075
1949,(r)-alpha-methylhistamine,Chemical,C069357
1950,Ramh,Chemical,C069357
1951,Thp,Chemical,C052075
1952,Platypnea-orthodeoxia-like syndrome,Disease,Unknown
1953,Platypnea-orthodeoxia,Disease,Unknown
1954,Cyanosis,Disease,D003490
1955,Patent foramen ovale,Disease,D054092
1956,Biventricular dysfunction,Disease,D018754
1957,Wr-2721,Chemical,D004999
1958,Amifostine,Chemical,D004999
1959,Breast carcinoma,Disease,D001943
1960,Mannitol,Chemical,D008353
1961,Neurologic toxicity,Disease,D020258
1962,Femoral nerve palsy,Disease,D020428
1963,Muscle tear,Disease,D009135
1964,Contracture,Disease,D003286
1965,Nerve entrapment,Disease,D009408
1966,Partial loss of quadriceps functions,Disease,D009135
